#time, arduino2, arduino1
#Arduino 2 is connected to usb of tower and has only voltage pins connected, arduino1 is connected to the usb of monitor and has complete connections
299.09982109069824 758 718
299.1154410839081 660 663
299.13106393814087 763 768
299.146684885025 748 748
299.1623339653015 743 793
299.17825269699097 695 655
299.19386863708496 778 668
299.20916986465454 650 670
299.224796295166 640 683
299.24073600769043 685 793
299.25603914260864 668 823
299.27185821533203 628 795
299.28755044937134 748 668
299.30289793014526 810 673
299.318519115448 628 813
299.3341405391693 753 733
299.3497633934021 703 653
299.3651866912842 665 760
299.38994574546814 783 813
299.40556144714355 708 838
299.42118310928345 663 805
299.4371440410614 570 710
299.46095180511475 763 833
299.4766001701355 793 668
299.492271900177 690 740
299.5075764656067 630 810
299.523197889328 585 675
299.5388252735138 648 688
299.5544400215149 725 605
299.5703320503235 678 693
299.58568382263184 653 713
299.601619720459 773 703
299.6169261932373 600 685
299.6325521469116 650 718
299.64817667007446 785 668
299.6638185977936 653 795
299.6797342300415 570 798
299.6953504085541 713 793
299.71065402030945 763 628
299.7262749671936 578 760
299.74190163612366 575 743
299.7577702999115 675 668
299.77330207824707 805 665
299.789080619812 610 730
299.8046486377716 745 845
299.8200032711029 743 600
299.83562421798706 645 825
299.85156297683716 623 668
299.8671429157257 630 698
299.8827528953552 608 803
299.8983471393585 685 620
299.91376543045044 723 678
299.9293522834778 730 678
299.9449782371521 675 800
299.9609248638153 665 733
299.9764552116394 748 785
299.99216318130493 635 778
300.00745964050293 620 658
300.02308106422424 770 825
300.0387063026428 618 665
300.0545926094055 805 680
300.0701792240143 668 798
300.085880279541 668 623
300.10147309303284 638 668
300.11680841445923 583 743
300.13242959976196 565 683
300.14830231666565 775 810
300.1639904975891 705 658
300.17961287498474 620 768
300.1952314376831 680 628
300.21053743362427 670 690
300.2261576652527 755 683
300.24177956581116 570 685
300.2576425075531 623 598
300.28227639198303 703 773
300.2978973388672 633 678
300.3135178089142 685 823
300.3288838863373 688 683
300.34951519966125 648 640
300.36513781547546 755 795
300.38092136383057 635 798
300.39670181274414 780 725
300.412002325058 653 640
300.42762327194214 683 720
300.4432489871979 795 825
300.4588704109192 590 740
300.4748034477234 668 825
300.49042797088623 638 818
300.5058858394623 713 793
300.52135038375854 658 698
300.53697752952576 738 670
300.55287170410156 765 698
300.5684566497803 645 783
300.5840766429901 758 750
300.5994849205017 803 808
300.6150789260864 620 800
300.6306998729706 593 818
300.64632630348206 788 840
300.66194200515747 765 810
300.67787981033325 770 820
300.6935062408447 645 613
300.7091369628906 650 818
300.7244281768799 643 690
300.74005460739136 753 783
300.75567507743835 740 658
300.7715516090393 565 798
300.7871448993683 650 803
300.80256056785583 585 680
300.81815576553345 635 665
300.8337769508362 635 683
300.849404335022 713 828
300.86548614501953 793 733
300.89347290992737 583 788
300.9090976715088 680 708
300.9243972301483 795 693
300.9400236606598 773 753
300.95592212677 730 703
300.97150111198425 785 788
300.98688292503357 648 785
301.0025038719177 675 758
301.01812505722046 640 723
301.0337471961975 805 800
301.0493679046631 795 670
301.0650188922882 778 613
301.0809290409088 623 720
301.096551656723 753 763
301.1121368408203 738 690
301.1274743080139 738 755
301.14310097694397 635 733
301.15895986557007 803 670
301.17466044425964 758 730
301.19028663635254 723 800
301.20584774017334 745 825
301.2212026119232 653 698
301.2368235588074 655 700
301.2524502277374 630 798
301.2682032585144 605 653
301.28392457962036 788 800
301.29963660240173 718 663
301.3151788711548 590 780
301.33055090904236 768 690
301.346177816391 608 655
301.3620693683624 653 613
301.3777368068695 738 735
301.393354177475 653 738
301.40892577171326 783 695
301.4242811203003 660 680
301.43990111351013 675 693
301.45552229881287 678 803
301.4711711406708 765 705
301.486935377121 725 800
301.50254106521606 665 818
301.518168926239 725 660
301.53362917900085 750 760
301.54925513267517 625 615
301.5652012825012 573 670
301.5808174610138 633 768
301.5964365005493 675 760
301.6120593547821 778 723
301.62735772132874 653 818
301.6429786682129 583 595
301.6586253643036 788 705
301.6742489337921 643 648
301.69017148017883 673 790
301.70569229125977 635 710
301.7212996482849 708 700
301.73670721054077 675 830
301.75233268737793 713 618
301.76798129081726 710 748
301.78359961509705 723 778
301.7991943359375 588 690
301.8151376247406 675 733
301.8304355144501 733 690
301.8460490703583 623 690
301.8731515407562 578 825
301.8887577056885 660 810
301.90416288375854 643 810
301.91999793052673 643 730
301.93537616729736 703 688
301.95100140571594 670 778
301.9666476249695 753 620
301.9824035167694 723 765
301.9978594779968 595 683
302.0135099887848 773 698
302.0291020870209 773 688
302.0447232723236 650 660
302.0603446960449 800 768
302.0759656429291 660 598
302.0915870666504 685 758
302.10720801353455 618 713
302.12282967567444 720 765
302.13845229148865 600 818
302.15407276153564 773 590
302.1696939468384 753 598
302.1853153705597 620 673
302.20093631744385 670 710
302.216557264328 738 758
302.2321791648865 733 800
302.24780082702637 665 608
302.2634222507477 630 745
302.27904319763184 575 695
302.29466485977173 663 710
302.3102855682373 620 735
302.3260750770569 610 783
302.3415296077728 660 620
302.3571512699127 660 833
302.37281823158264 723 715
302.3883926868439 590 675
302.40393114089966 658 665
302.431565284729 790 683
302.4471867084503 623 753
302.46283626556396 580 820
302.4784641265869 805 723
302.4942145347595 733 800
302.50983023643494 703 753
302.5254542827606 635 700
302.540913105011 673 688
302.5565404891968 630 800
302.5721859931946 630 680
302.5878758430481 738 705
302.60342812538147 710 615
302.61928606033325 638 793
302.6346414089203 598 718
302.6502637863159 635 790
302.6659197807312 570 728
302.6817343235016 625 840
302.69744992256165 625 808
302.71307611465454 788 838
302.728688955307 730 815
302.74399185180664 738 685
302.75961780548096 648 728
302.77554965019226 720 715
302.79117941856384 645 815
302.80674862861633 630 790
302.822336435318 678 720
302.8377194404602 690 838
302.85334038734436 640 735
302.86896204948425 583 803
302.88482213020325 625 810
302.90040922164917 793 770
302.91614842414856 588 780
302.93159198760986 690 830
302.94706892967224 743 673
302.96269512176514 728 708
302.978631734848 745 718
302.99425506591797 700 768
303.00987482070923 633 788
303.02549958229065 730 755
303.0407965183258 793 648
303.0564184188843 583 770
303.07204389572144 668 675
303.0879445075989 795 725
303.1033101081848 733 815
303.1189033985138 760 648
303.1347448825836 723 808
303.1573805809021 585 670
303.17302989959717 628 600
303.1886537075043 633 778
303.20427322387695 658 710
303.21989917755127 658 813
303.2354872226715 778 710
303.2511079311371 663 693
303.2667293548584 733 720
303.28250765800476 668 703
303.2981433868408 610 615
303.3137490749359 688 615
303.32937836647034 693 750
303.3448362350464 663 775
303.3604624271393 788 793
303.3763427734375 678 615
303.3918447494507 693 645
303.40732169151306 703 670
303.4231913089752 778 685
303.43859672546387 723 680
303.4541857242584 688 798
303.4698066711426 683 693
303.4854278564453 700 765
303.5010778903961 743 625
303.5166709423065 638 798
303.532320022583 643 680
303.5479145050049 738 805
303.56353974342346 758 830
303.5789985656738 770 658
303.60485100746155 663 708
303.6207227706909 700 698
303.6361997127533 610 848
303.6516876220703 593 700
303.66741132736206 673 805
303.6931138038635 763 823
303.7087881565094 653 785
303.7243535518646 598 818
303.7397072315216 580 638
303.7553286552429 645 820
303.770955324173 655 598
303.78657150268555 798 715
303.802446603775 775 650
303.81803727149963 750 773
303.8337552547455 660 783
303.84905648231506 775 675
303.8646779060364 598 670
303.8806300163269 635 728
303.89624547958374 710 800
303.9115710258484 688 753
303.927205324173 633 778
303.9427864551544 790 803
303.9584057331085 640 715
303.97403216362 798 808
303.98987436294556 643 678
304.0056006908417 735 813
304.021213054657 663 773
304.0367331504822 740 660
304.0521342754364 600 698
304.067754983902 635 713
304.08369851112366 748 660
304.0993196964264 788 800
304.1149470806122 705 790
304.1305592060089 675 778
304.14586210250854 750 810
304.1614830493927 790 803
304.17711901664734 688 740
304.19304943084717 795 780
304.20848751068115 648 818
304.2242240905762 625 728
304.2397975921631 655 765
304.25521087646484 723 795
304.2708375453949 785 688
304.2867248058319 733 600
304.30232334136963 655 655
304.3177435398102 750 705
304.33363676071167 695 798
304.3489396572113 703 645
304.36456060409546 628 743
304.3801815509796 685 693
304.39612793922424 580 648
304.4117465019226 788 813
304.42737579345703 670 603
304.44299840927124 623 808
304.45828890800476 583 680
304.4739155769348 788 743
304.4895615577698 580 740
304.5051522254944 750 820
304.520804643631 663 805
304.5366508960724 618 603
304.55201625823975 718 670
304.5676374435425 680 790
304.58328795433044 760 643
304.598441362381 743 718
304.6163911819458 750 813
304.63206243515015 648 765
304.64811658859253 658 783
304.6630766391754 693 765
304.67875719070435 805 765
304.69437861442566 768 653
304.71031498908997 755 780
304.7259316444397 668 703
