#Year;Month;Day;Hour;Min;Sec;mSec;dirX;dirY;dirZ;orgX;orgY;orgZ;targX;targY;targZ;target;                dataValid;calibValid;lowContiguity;scene;exercise;subExercise;
2021;7;7;16;24;37;279;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9838863015174866;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;298;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9838863015174866;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;298;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9838863015174866;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;298;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835000038146973;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;309;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835000038146973;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;318;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835000038146973;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;328;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835000038146973;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;338;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835000038146973;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;348;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835000038146973;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;358;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835000038146973;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;358;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835000038146973;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;378;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835218787193298;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;388;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835218787193298;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;398;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835563898086548;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;403;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835563898086548;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;409;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.983561098575592;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;433;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835559129714966;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;428;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.983561098575592;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;449;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835559129714966;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;468;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.983527660369873;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;468;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.983527660369873;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;478;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835166931152344;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;478;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835166931152344;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;498;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835090041160583;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;509;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835090041160583;10001;False;False;False;-1;-1;-1;
2021;7;7;16;24;37;517;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9835039973258972;10001;False;False;False;-1;-1;-1;
